Player_Name,Maiden_Over,Wickets,Bowl_Avg,Eco_Rate,Bowl_SR,Max_Wicket,Bowler_Score,inningswise_Score,x_venue,opponent,Yearwise,Overall_Score,Player_Rating
D1,1,3,39.66,4.76,50.0,1,14.696,18.047900000000002,13.716800000000001,15.946400000000002,2.9392,11.617465000000001,Satisfactory
J1,0,1,61.00,4.35,84.0,1,21.602500000000003,3.108,2.337,1.5660000000000003,3.8790000000000004,8.19135,Poor
X1,18,53,30.26,4.40,41.2,3,28.682,19.545299999999997,19.3752,13.794100000000002,16.4401,21.531049999999997,Good
M2,10,13,31.07,4.80,38.7,3,15.854000000000003,13.5731,13.387000000000002,3.2195000000000005,3.7461,10.86301,Satisfactory
A2,1,3,40.00,7.74,31.0,3,13.411,5.634600000000001,8.0466,3.1382000000000003,2.6822,6.8303199999999995,Poor
K2,1,2,111.50,5.86,114.0,1,35.329,37.08,32.845,41.315,7.0658,27.20561,Good
D5,1,3,39.66,4.76,50.0,1,14.696,18.047900000000002,13.716800000000001,15.946400000000002,2.9392,11.617465000000001,Satisfactory
J2,0,1,61.00,4.35,84.0,1,21.602500000000003,3.108,2.337,1.5660000000000003,3.8790000000000004,8.19135,Poor
X2,18,53,30.26,4.40,41.2,3,28.682,19.545299999999997,19.3752,13.794100000000002,16.4401,21.531049999999997,Good
K3,1,2,111.50,5.86,114.0,1,35.329,37.08,32.845,41.315,7.0658,27.20561,Good
M4,10,13,31.07,4.80,38.7,3,15.854000000000003,13.5731,13.387000000000002,3.2195000000000005,3.7461,10.86301,Satisfactory
A3,1,3,40.00,7.74,31.0,3,13.411,5.634600000000001,8.0466,3.1382000000000003,2.6822,6.8303199999999995,Poor
D4,1,3,39.66,4.76,50.0,1,14.696,18.047900000000002,13.716800000000001,15.946400000000002,2.9392,11.617465000000001,Satisfactory
J3,0,1,61.00,4.35,84.0,1,21.602500000000003,3.108,2.337,1.5660000000000003,3.8790000000000004,8.19135,Poor
X3,18,53,30.26,4.40,41.2,3,28.682,19.545299999999997,19.3752,13.794100000000002,16.4401,21.531049999999997,Good
M3,10,13,31.07,4.80,38.7,3,15.854000000000003,13.5731,13.387000000000002,3.2195000000000005,3.7461,10.86301,Satisfactory
A4,1,3,40.00,7.74,31.0,3,13.411,5.634600000000001,8.0466,3.1382000000000003,2.6822,6.8303199999999995,Poor
K5,1,2,111.50,5.86,114.0,1,35.329,37.08,32.845,41.315,7.0658,27.20561,Good
D3,1,3,39.66,4.76,50.0,1,14.696,18.047900000000002,13.716800000000001,15.946400000000002,2.9392,11.617465000000001,Satisfactory
J4,0,1,61.00,4.35,84.0,1,21.602500000000003,3.108,2.337,1.5660000000000003,3.8790000000000004,8.19135,Poor
X4,18,53,30.26,4.40,41.2,3,28.682,19.545299999999997,19.3752,13.794100000000002,16.4401,21.531049999999997,Good
A5,1,3,40.00,7.74,31.0,3,13.411,5.634600000000001,8.0466,3.1382000000000003,2.6822,6.8303199999999995,Poor
M5,10,13,31.07,4.80,38.7,3,15.854000000000003,13.5731,13.387000000000002,3.2195000000000005,3.7461,10.86301,Satisfactory
K4,1,2,111.50,5.86,114.0,1,35.329,37.08,32.845,41.315,7.0658,27.20561,Good
D2,1,3,39.66,4.76,50.0,1,14.696,18.047900000000002,13.716800000000001,15.946400000000002,2.9392,11.617465000000001,Satisfactory
